time;position24;slider_velocity;slider_velocity_kinks;slider_velocity_GGL_h=0.01;total_energy_system;total_energy_increment_system;time_ref1[Rosenbrock];pos_ref1[Rosenbrock];angle_ref1[LieGroupGenAlpha];time_ref2[LieGroupGenAlpha];pos_ref2[LieGroupGenAlpha]
1.18;0.204814616;0.24631423;0.24778933;0.248711082;0.76643568;8.2E-17;1.973244147;0.251235497;19.88307986;1.09879504;0.25339788
1.19;0.20732431;0.250969403;0.254149475;0.253707182;0.76643568;3.08E-17;1.989966555;0.257880195;20.02211111;1.10879504;0.2494672
1.2;0.209887303;0.256299333;0.258449191;0.259237005;0.76643568;-8.37E-17;2.006688963;0.264900212;20.1801119;1.11879504;0.24548271
1.21;0.212507505;0.262020203;0.265591216;0.265345547;0.76643568;-1.60E-17;2.023411371;0.272241853;20.36511722;1.12879504;0.24143276
1.22;0.215192444;0.268493853;0.271396491;0.272059257;0.76643568;-3.99E-17;2.040133779;0.279629996;20.58882906;1.13879504;0.23730979
1.23;0.217946706;0.27542627;0.279456048;0.279393661;0.76643568;-2.52E-17;2.056856187;0.28594839;20.85212787;1.14879504;0.23311251
1.24;0.220778069;0.283136245;0.286816441;0.287357576;0.76643568;7.98E-17;2.073578595;0.289412919;21.11000359;1.15879504;0.22884732
1.25;0.223691345;0.291327655;0.295838869;0.295955353;0.76643568;-1.10E-16;2.090301003;0.290106056;21.34644427;1.16879504;0.22452894
1.26;0.226694392;0.300304641;0.304770413;0.305187839;0.76643568;-1.04E-17;2.107023411;0.288147462;21.60278535;1.17879504;0.22018009
1.27;0.22979202;0.30976288;0.314755346;0.315052388;0.76643568;4.94E-17;2.123745819;0.282202954;21.90967091;1.18879504;0.21583058
1.28;0.232992079;0.320005881;0.325256415;0.325542015;0.76643568;1.00E-22;2.140468227;0.273010934;22.20662594;1.19879504;0.21151614
1.29;0.23629916;0.330708113;0.33615981;0.336643552;0.76643568;-5.03E-17;2.157190635;0.262862928;22.46005999;1.20879504;0.20727774
1.3;0.239720943;0.34217827;0.348196729;0.348334456;0.76643568;3.12E-17;2.173913043;0.252591875;22.68199019;1.21879504;0.20316174
1.31;0.243261419;0.35404759;0.359898452;0.360577534;0.76643568;-5.03E-17;2.190635452;0.242478146;22.88338593;1.22879504;0.19922177
1.32;0.246927667;0.36662477;0.373351089;0.373312251;0.76643568;1.00E-22;2.20735786;0.232669919;23.07126659;1.23879504;0.19552306
1.33;0.25072222;0.379455347;0.385559605;0.386440098;0.76643568;2.95E-17;2.224080268;0.223273216;23.25060054;1.24879504;0.19215067
1.34;0.254650359;0.392813869;0.400068134;0.399799114;0.76643568;-1.51E-16;2.240802676;0.214381981;23.42553183;1.25879504;0.18922332
1.35;0.25871095;0.406059152;0.412050171;0.413117551;0.76643568;1.00E-22;2.257525084;0.206098272;23.60024791;1.26879504;0.18691042
1.36;0.262903906;0.419295586;0.426541;0.425924913;0.76643568;-5.10E-16;2.274247492;0.198560322;23.77993995;1.27692533;0.18563033
1.37;0.267217751;0.431384444;0.436227889;0.437369699;0.76643568;-1.61E-16;2.2909699;0.192009455;23.97240168;1.28499763;0.1850084
1.38;0.271634494;0.441674353;0.447120818;0.445816046;0.76643568;1.00E-22;2.307692308;0.187002705;24.19030314;1.29367316;0.18509565
1.39;0.276106557;0.447206259;0.447291701;0.447871381;0.76643568;-2.95E-17;2.324414716;0.184951903;24.43865441;1.30235863;0.18586732
1.4;0.280540014;0.443345686;0.43939967;0.43586646;0.76643568;5.83E-16;2.341137124;0.18659536;24.65950821;1.31071884;0.18708815
